标题,简介,豆瓣评分,链接,创建时间,我的评分,标签,评论,可见性
代码整洁之道,[美] Robert C. Martin / 2016 / 人民邮电出版社,8.7,https://book.douban.com/subject/26919457/,2023-11-17 15:08:25,5,,很经典、简明的一本书，程序员从来不是一个特殊的职业，他遵循其他职业一切的特性，需要基础学习，专业训练，承压，做的事情是专业的，还要保持创造力，这本书的作者是一个专家级别的程序员，作者讲述了他从学生时代到布道师的成长之路，没用什么特殊的技巧，保持专注，做正确的事情。然后持续20年，仅此而已。,public
光刻巨人,[荷兰] 瑞尼·雷吉梅克 / 2020 / 人民邮电出版社,7.6,https://book.douban.com/subject/35217394/,2023-08-03 17:20:26,4,计算机,全球的力量,public
浪潮之巅（第四版）（上下册）,吴军 / 2019 / 人民邮电出版社,9.1,https://book.douban.com/subject/33474750/,2023-08-03 17:18:02,4,"IT,科普",,public
史蒂夫·乔布斯传（典藏版）,[美]沃尔特·艾萨克森 / 2023 / 中信出版社,9.4,https://book.douban.com/subject/36284266/,2023-08-03 17:16:39,,"计算机,人物传记",,public
秘密,[日] 东野圭吾 / 2017 / 南海出版公司,8.0,https://book.douban.com/subject/27115970/,2022-12-03 08:38:25,4,,澡奈美,public
我的几何人生,[美国]丘成桐 [美国]史蒂夫·纳迪斯 / 2021 / 译林出版社,8.4,https://book.douban.com/subject/35308863/,2022-01-25 11:29:59,4,,,public
昆仑1,凤歌 / 2005 / 团结出版社,8.6,https://book.douban.com/subject/1430909/,2022-01-21 17:59:58,5,武侠,,public
图解密码技术（第3版）,[日] 结城浩 / 2016 / 人民邮电出版社,9.5,https://book.douban.com/subject/26822106/,2021-12-27 09:04:53,4,"科技,密码",,public
夜晚的潜水艇,陈春成 / 2020 / 上海三联书店,8.3,https://book.douban.com/subject/35005045/,2021-10-19 15:51:24,5,"小说,短篇小说",好喜欢作者的文字,public
人类群星闪耀时,[奥]斯蒂芬·茨威格 / 2019 / 上海文艺出版社,8.2,https://book.douban.com/subject/34434342/,2021-10-18 15:10:58,4,"文学,人物传记",emmm，好像没传的那么神奇。因为版本的问题嘛？,public
凤凰架构,周志明 / 2021 / 机械工业出版社,9.2,https://book.douban.com/subject/35492898/,2022-02-19 14:42:18,5,"计算机,微服务,软件架构",,public
技术的本质,布莱恩•阿瑟（Brian Arthur） / 2014 / 浙江人民出版社,7.9,https://book.douban.com/subject/25846075/,2021-10-10 10:36:21,4,"社会,科技",,public
菊与刀,[美]鲁思・本尼迪克特 / 1990 / 商务印书馆,8.2,https://book.douban.com/subject/1022238/,2021-09-27 21:16:19,5,"菊与刀,日本文化",,public
亚历克斯·弗格森,亚历克斯·弗格森 (Alex Ferguson) 保罗·海沃德 / 2014 / 北京出版社,8.8,https://book.douban.com/subject/25956005/,2021-09-13 21:39:47,5,人物传记,弗爵爷，yyds,public
天龙八部（新修版）,金庸 / 2013 / 广州出版社,9.0,https://book.douban.com/subject/26322283/,2021-09-01 23:26:13,5,,,public
被嫌弃的松子的一生,[日] 山田宗树 / 2018 / 四川文艺出版社,8.6,https://book.douban.com/subject/27110733/,2021-08-17 23:57:09,3,外国小说,,public
